ISIN,Issuer Name,Price (£),Coupon (%),Maturity Date,Years to Maturity,Gross Equiv. Yield
XS2289410180,Volkswagen Financial Services NV,92.92,0.875,2025-02-20,1.43,9.725
XS2345981802,Credit Suisse AG/London,89.43,1.125,2025-12-15,2.24,9.691
FR0014001J59,Societe Generale SA,81.61,1.25,2027-12-07,4.22,9.518
XS2331739750,Banco Santander SA,88.76,1.5,2026-04-14,2.57,9.472
XS2293753856,Dexia Credit Local SA,84.3,0.25,2026-12-10,3.23,9.319
XS2282195846,Sweden Export Credit,88.74,0.125,2025-12-15,2.24,9.256
XS2190436357,Landeskreditbank Baden-Wuerttemberg Foerderbank,93.85,0.375,2024-12-09,1.23,9.247
XS2329146539,Macquarie Bank Ltd,90.18,1.125,2025-12-15,2.24,9.036
XS1991124063,Inter-American Development Bank,90.47,1.25,2025-12-15,2.24,8.914
XS2281152822,Metropolitan Life Global Funding I,81.56,0.625,2027-12-08,4.22,8.896
XS2107314663,International Development Association,94.33,0.75,2024-12-12,1.23,8.854
XS2264545273,American Honda Finance Corp,86.12,0.75,2026-11-25,3.19,8.783
FR0013476330,BNP Paribas SA,84.36,1.875,2027-12-14,4.24,8.741
XS2036242803,European Investment Bank,94.76,0.75,2024-11-15,1.16,8.695
XS2243329807,International Finance Corp,89.56,0.25,2025-12-15,2.24,8.663
XS2317061864,Council Of Europe Development Bank,89.74,0.375,2025-12-15,2.24,8.637
XS2244418609,Enel Finance International N.V.,83.4,1.0,2027-10-20,4.09,8.604
XS2251337353,Verizon Communications Inc.,79.99,1.125,2028-11-03,5.13,8.576
XS2283226798,Provice of Ontario,85.4,0.25,2026-12-15,3.24,8.574
XS2260426288,Toyota Motor Credit Group,86.65,0.75,2026-11-19,3.17,8.486
XS2356217203,African Development Bank,88.16,0.5,2026-06-22,2.76,8.309
XS2285179763,New York Life Global Funding,79.33,0.75,2028-12-14,5.24,8.304
XS2118273866,Siemens Financieringsmaatschappij NV,94.13,1.0,2025-02-20,1.43,8.262
XS2284257701,Nordic Investment Bank,85.74,0.125,2026-12-15,3.24,8.232
XS2281370903,European Investment Bank,85.85,0.125,2026-12-14,3.24,8.17
XS2354271095,Nestle Holdings Inc,90.6,0.625,2025-12-18,2.25,8.125
XS2294319194,Asian Development Bank,85.92,0.125,2026-12-15,3.24,8.119
XS2281478268,Kreditanstalt fuer Wiederaufbau,85.78,0.125,2026-12-30,3.28,8.103
XS2008921277,Unilever PLC,89.76,1.5,2026-07-22,2.84,8.003
XS1879223565,AT&T Inc.,90.98,2.9000000000000004,2026-12-04,3.21,7.91
XS2249778080,Asian Development Bank,83.18,0.25,2027-10-28,4.11,7.9
XS2236022153,International Bank for Reconstruction & Development,83.59,0.25,2027-09-23,4.01,7.873
XS2434410051,Asian Infrastructure Investment Bank/The,88.86,1.125,2026-09-15,2.99,7.872
XS2297687787,International Development Association,83.92,0.375,2027-09-22,4.01,7.836
XS2398918024,European Investment Bank,89.79,0.875,2026-05-15,2.66,7.805
XS2035406987,Landwirtschaftliche Rentenbank,87.84,0.875,2026-12-15,3.24,7.704
XS1473485925,HSBC Holdings PLC,86.3,2.625,2028-08-16,4.91,7.701
XS2034715305,Kreditanstalt fuer Wiederaufbau,88.78,0.875,2026-09-15,2.99,7.668
XS2111458977,Council Of Europe Development Bank,85.7,0.75,2027-07-22,3.84,7.608
XS2121223601,International Finance Corp,85.76,0.75,2027-07-22,3.84,7.579
XS1490724975,European Investment Bank,89.13,1.0,2026-09-21,3.01,7.53
XS2114853299,Comcast Corp.,82.53,1.5,2029-02-20,5.43,7.527
FR0013482866,LVMH Moet Hennessy Louis Vuitton SE,88.06,1.125,2027-02-11,3.4,7.509
XS2170601848,GlaxoSmithKline Capital PLC,83.06,1.25,2028-10-12,5.07,7.497
XS2365061931,International Bank for Reconstruction & Development,82.42,0.625,2028-07-14,4.82,7.465
XS2163020790,Canada Pension Plan (CPPIB Capital Inc.),80.26,1.125,2029-12-14,6.24,7.124
BE6295393936,Anheuser Busch InBev,86.64,2.25,2029-05-24,5.68,6.499
XS0954706023,Deutsche Bahn,94.73,3.125,2026-07-24,2.85,6.331
